Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
1.830000000000001492e+01,0.000000000000000000e+00,4.900000000000000000e+01,5.776340626367233710e+01
1.840000000000001279e+01,0.000000000000000000e+00,6.800000000000000000e+01,6.880031692937812693e+01
1.850000000000001421e+01,0.000000000000000000e+00,8.800000000000000000e+01,8.140910386486956440e+01
1.860000000000001563e+01,0.000000000000000000e+00,1.040000000000000000e+02,9.569745788330375547e+01
1.870000000000001350e+01,0.000000000000000000e+00,1.160000000000000000e+02,1.117564815278037713e+02
1.880000000000001492e+01,0.000000000000000000e+00,1.440000000000000000e+02,1.296551975008955822e+02
1.890000000000001634e+01,0.000000000000000000e+00,1.670000000000000000e+02,1.494348987608326524e+02
1.900000000000001421e+01,0.000000000000000000e+00,1.840000000000000000e+02,1.711035531144936499e+02
1.910000000000001563e+01,0.000000000000000000e+00,1.970000000000000000e+02,1.946305072066178354e+02
1.920000000000001705e+01,0.000000000000000000e+00,2.140000000000000000e+02,2.199417582343830020e+02
1.930000000000001492e+01,0.000000000000000000e+00,2.470000000000000000e+02,2.469160736848210149e+02
1.940000000000001634e+01,0.000000000000000000e+00,2.840000000000000000e+02,2.753822374526624230e+02
1.950000000000001421e+01,0.000000000000000000e+00,3.290000000000000000e+02,3.051176830151538297e+02
1.960000000000001563e+01,0.000000000000000000e+00,3.810000000000000000e+02,3.358487399263659654e+02
1.970000000000001705e+01,0.000000000000000000e+00,4.030000000000000000e+02,3.672526687826584180e+02
1.980000000000001492e+01,0.000000000000000000e+00,3.970000000000000000e+02,3.989615931942362863e+02
1.990000000000001634e+01,0.000000000000000000e+00,4.150000000000000000e+02,4.305683575666378715e+02
2.000000000000001421e+01,0.000000000000000000e+00,4.290000000000000000e+02,4.616342501964213625e+02
2.010000000000001563e+01,0.000000000000000000e+00,4.560000000000000000e+02,4.916984368706649207e+02
2.020000000000001705e+01,0.000000000000000000e+00,5.170000000000000000e+02,5.202888561475779170e+02
2.030000000000001492e+01,0.000000000000000000e+00,5.380000000000000000e+02,5.469342395393841798e+02
2.040000000000001634e+01,0.000000000000000000e+00,5.250000000000000000e+02,5.711768437163758563e+02
2.050000000000001776e+01,0.000000000000000000e+00,5.460000000000000000e+02,5.925854230189645477e+02
2.060000000000001563e+01,0.000000000000000000e+00,6.040000000000000000e+02,6.107679336111810926e+02
2.070000000000001705e+01,0.000000000000000000e+00,6.490000000000000000e+02,6.253834489466530613e+02
2.080000000000001847e+01,0.000000000000000000e+00,6.450000000000000000e+02,6.361527817476178370e+02
